Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
Prada,Prada,cassï¿,8/11/2023,100,152.5,609699748,128498,160755092,83,47611547,418343,283600,96934486,1090501901,113545664,129,123242,100,1210830,1073,25956265,
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,101,152.3,5157486,470,2924720,,1278618,27849,1100000,261000,3900000,,3,,,,,,47658
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,102,152.1,242070373,37170,74130983,76,22907992,261664,2553106,312997953,3832221658,15593731,106,370635,79,84425715,30713,670026,2219984
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,103,150.7,478150858,73306,51842133,78,113379734,1312763,1700998,182319546,2111289492,90954700,78,35330,53,17823388,12664,4374049,2255465
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,104,150.5,61382407,7240,1708319,43,9977490,201210,37726462,9239474,147837262,,15,10152,1,,,,3819161
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,105,150.4,460156070,163449,127827271,77,8183226,98257,530103,65920648,1032799567,56004473,,195140,111,1132923,1312,9451176,9279625
Training Season,Training Season,Dua Lipa,2/15/2024,106,148.9,251153869,16811,92985554,76,66691067,961957,102884,34572688,431390500,2120552147,162,180711,116,10305245,3796,776717,2047771
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,107,148.1,205206688,28064,84737651,84,39453253,672789,,,,232440923,99,3432,47,5897303,4527,7571301,900933
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,108,147.4,32942304,1262,26204483,74,57861795,1257935,,,,29510774,37,290,33,21869,48,139164,29736
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,109,146.6,1911559785,317345,87765033,78,441257231,4829633,4930490,561201008,4574447121,2077511,255,296948,28,295741432,633414,168458097,11988760
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,110,145.3,2014959725,354831,87942438,70,1003346208,16856186,1750366,915814897,9558947943,3191316960,360,245228,74,75167268,96430,,12693846
Pedro,Pedro - Single,Jaxomy,3/29/2024,111,144.6,168145583,27654,159737263,85,35008949,717214,,,,39149568,107,4448,54,39577,482,3634381,2408838
Fast Car,Gettin' Old,Luke Combs,3/24/2023,112,144.5,518988585,73116,58391498,80,107703759,768813,354036,74258021,924204888,103658014,117,673629,104,184924061,88890,728039,3108167
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,113,144,247399972,22222,13870528,80,389540239,4392933,,22950364,296522040,1041035733,53,807,17,537267,1928,,1069500
